PR&Team,Development Hub Mumbai,1492.2877593360995,9640.0,14385654.0,231360.0,24.871462655601658
Specials,Sport Entegration 2,1502.6356589147288,7740.0,11630400.0,185760.0,25.043927648578812
Specials,TON Hamster Kombat Success,1516.7242655059847,9190.0,13938696.0,220560.0,25.278737758433078
Legal,Licence Philippines,1531.0402298850574,15660.0,23976090.0,375840.0,25.51733716475096
Specials,Premarket Launch,1616.2644745762711,14750.0,23839901.0,354000.0,26.937741242937854
Specials,There are two chairs,1658.097510373444,4820.0,7992030.0,115680.0,27.634958506224066
PR&Team,Anonymous transactions ban,1688.8160270880362,886.0,1496291.0,21264.0,28.146933784800602
Legal,Licence Asia,1741.5995807127883,954.0,1661486.0,22896.0,29.026659678546473
Specials,Consensus Piranha Pass,1744.9847161572052,4580.0,7992030.0,109920.0,29.083078602620088
PR&Team,QA team,1764.9580152671756,524.0,924838.0,12576.0,29.415966921119594
Legal,Licence Europe,1822.5201005025126,1990.0,3626815.0,47760.0,30.37533500837521
Markets,Margin trading x30,1839.6884057971015,1380.0,2538770.0,33120.0,30.66147342995169
Markets,Margin trading x20,1877.2329192546583,966.0,1813407.0,23184.0,31.28721532091097
Specials,Web3 academy launch,1927.2929951690821,4140.0,7978993.0,99360.0,32.1215499194847
Legal,Licence Australia,1929.156914893617,1880.0,3626815.0,45120.0,32.15261524822695
Specials,Apps Center Listing,1931.9600775193799,2580.0,4984457.0,61920.0,32.199334625323
PR&Team,Risk management team,1984.577291381669,731.0,1450726.0,17544.0,33.07628818969449
PR&Team,Consensus Explorer pass,2146.6222222222223,3870.0,8307428.0,92880.0,35.77703703703704
Markets,Web3 integration,2162.779357798165,2180.0,4714859.0,52320.0,36.04632262996942
Specials,Top 10 Global ranking,2191.429003021148,3310.0,7253630.0,79440.0,36.52381671701914
Specials,Hamsters break records,2203.3179297597044,5410.0,11919950.0,129840.0,36.72196549599507
Markets,Shit coins,2225.0398773006136,1630.0,3626815.0,39120.0,37.083997955010226
Specials,Hamster Green energy,2233.907608695652,5520.0,12331170.0,132480.0,37.23179347826087
Specials,Youtube 25 Million,2255.014335060449,5790.0,13056533.0,138960.0,37.58357225100748
Specials,X Network 10 Million,2258.330097087379,1030.0,2326080.0,24720.0,37.63883495145631
Legal,Licence Nigeria,2319.923240938166,0.0,0.0,0.0,38.66538734896944
Legal,Licence UAE,2339.8806451612904,0.0,0.0,0.0,38.998010752688174
PR&Team,Antihacking shield,2340.1197183098593,0.0,0.0,0.0,39.00199530516432
Markets,Margin trading x50,2386.0625,0.0,0.0,0.0,39.76770833333333
Markets,Margin trading x10,2389.205533596838,0.0,0.0,0.0,39.820092226613966
PR&Team,Influencers,2434.103355704698,0.0,0.0,0.0,40.56838926174497
PR&Team,UX and UI team,2443.9729206963248,0.0,0.0,0.0,40.73288201160541
Legal,Licence Japan,2479.829253731343,6700.0,16614856.0,160800.0,41.330487562189056
